Time,sm_surface
"Sep 27, 2022",0.231
"Sep 27, 2022",0.228
"Sep 27, 2022",0.225
"Sep 27, 2022",0.226
"Sep 27, 2022",0.23
"Sep 27, 2022",0.234
"Sep 28, 2022",0.239
"Sep 28, 2022",0.221
"Sep 28, 2022",0.226
"Sep 28, 2022",0.225
"Sep 28, 2022",0.222
"Sep 28, 2022",0.219
"Sep 28, 2022",0.223
"Sep 28, 2022",0.228
"Sep 29, 2022",0.234
"Sep 29, 2022",0.239
"Sep 29, 2022",0.242
"Sep 29, 2022",0.238
"Sep 29, 2022",0.232
"Sep 29, 2022",0.232
"Sep 29, 2022",0.236
"Sep 29, 2022",0.239
"Sep 30, 2022",0.243
"Sep 30, 2022",0.204
"Sep 30, 2022",0.209
"Sep 30, 2022",0.209
"Sep 30, 2022",0.207
"Sep 30, 2022",0.209
"Sep 30, 2022",0.213
"Sep 30, 2022",0.218
"Oct 1, 2022",0.222
"Oct 1, 2022",0.227
"Oct 1, 2022",0.229
"Oct 1, 2022",0.226
"Oct 1, 2022",0.221
"Oct 1, 2022",0.205
"Oct 1, 2022",0.209
"Oct 1, 2022",0.214
"Oct 2, 2022",0.219
"Oct 2, 2022",0.225
"Oct 2, 2022",0.227
"Oct 2, 2022",0.223
"Oct 2, 2022",0.218
"Oct 2, 2022",0.218
"Oct 2, 2022",0.222
"Oct 2, 2022",0.226
"Oct 3, 2022",0.229
"Oct 3, 2022",0.218
"Oct 3, 2022",0.22
"Oct 3, 2022",0.216
"Oct 3, 2022",0.211
"Oct 3, 2022",0.212
"Oct 3, 2022",0.216
"Oct 3, 2022",0.22
"Oct 4, 2022",0.223
"Oct 4, 2022",0.227
"Oct 4, 2022",0.227
"Oct 4, 2022",0.221
"Oct 4, 2022",0.216
"Oct 4, 2022",0.215
"Oct 4, 2022",0.199
"Oct 4, 2022",0.206
"Oct 5, 2022",0.212
"Oct 5, 2022",0.203
"Oct 5, 2022",0.208
"Oct 5, 2022",0.207
"Oct 5, 2022",0.204
"Oct 5, 2022",0.205
"Oct 5, 2022",0.209
"Oct 5, 2022",0.213
"Oct 6, 2022",0.217
"Oct 6, 2022",0.203
"Oct 6, 2022",0.206
"Oct 6, 2022",0.203
"Oct 6, 2022",0.199
"Oct 6, 2022",0.187
"Oct 6, 2022",0.191
"Oct 6, 2022",0.195
"Oct 7, 2022",0.199
"Oct 7, 2022",0.204
"Oct 7, 2022",0.207
"Oct 7, 2022",0.205
"Oct 7, 2022",0.201
"Oct 7, 2022",0.206
"Oct 7, 2022",0.219
"Oct 7, 2022",0.226
"Oct 8, 2022",0.23
"Oct 8, 2022",0.198
"Oct 8, 2022",0.203
"Oct 8, 2022",0.202
"Oct 8, 2022",0.2
"Oct 8, 2022",0.203
"Oct 8, 2022",0.21
"Oct 8, 2022",0.215
"Oct 9, 2022",0.22
"Oct 9, 2022",0.224
"Oct 9, 2022",0.225
"Oct 9, 2022",0.221
"Oct 9, 2022",0.216
"Oct 9, 2022",0.196
"Oct 9, 2022",0.199
"Oct 9, 2022",0.204
"Oct 10, 2022",0.208
"Oct 10, 2022",0.213
"Oct 10, 2022",0.215
"Oct 10, 2022",0.211
"Oct 10, 2022",0.207
"Oct 10, 2022",0.207
"Oct 10, 2022",0.21
"Oct 10, 2022",0.213
"Oct 11, 2022",0.217
"Oct 11, 2022",0.197
"Oct 11, 2022",0.2
"Oct 11, 2022",0.198
"Oct 11, 2022",0.196
"Oct 11, 2022",0.198
"Oct 11, 2022",0.201
"Oct 11, 2022",0.204
"Oct 12, 2022",0.208
"Oct 12, 2022",0.211
"Oct 12, 2022",0.212
"Oct 12, 2022",0.207
"Oct 12, 2022",0.202
"Oct 12, 2022",0.203
"Oct 12, 2022",0.186
"Oct 12, 2022",0.192
"Oct 13, 2022",0.197
"Oct 13, 2022",0.189
"Oct 13, 2022",0.193
"Oct 13, 2022",0.192
"Oct 13, 2022",0.19
"Oct 13, 2022",0.192
"Oct 13, 2022",0.196
"Oct 13, 2022",0.201
"Oct 14, 2022",0.205
"Oct 14, 2022",0.181
"Oct 14, 2022",0.184
"Oct 14, 2022",0.183
"Oct 14, 2022",0.181
"Oct 14, 2022",0.174
"Oct 14, 2022",0.179
"Oct 14, 2022",0.183
"Oct 15, 2022",0.188
"Oct 15, 2022",0.193
"Oct 15, 2022",0.197
"Oct 15, 2022",0.197
"Oct 15, 2022",0.196
"Oct 15, 2022",0.2
"Oct 15, 2022",0.219
"Oct 15, 2022",0.24
"Oct 16, 2022",0.249
"Oct 16, 2022",0.241
"Oct 16, 2022",0.242
"Oct 16, 2022",0.236
"Oct 16, 2022",0.232
"Oct 16, 2022",0.232
"Oct 16, 2022",0.233
"Oct 16, 2022",0.236
"Oct 17, 2022",0.238
"Oct 17, 2022",0.239
"Oct 17, 2022",0.239
"Oct 17, 2022",0.235
"Oct 17, 2022",0.23
"Oct 17, 2022",0.204
"Oct 17, 2022",0.208
"Oct 17, 2022",0.211
"Oct 18, 2022",0.215
"Oct 18, 2022",0.219
"Oct 18, 2022",0.221
"Oct 18, 2022",0.218
"Oct 18, 2022",0.22
"Oct 18, 2022",0.221
"Oct 18, 2022",0.224
"Oct 18, 2022",0.227
"Oct 19, 2022",0.231
"Oct 19, 2022",0.185
"Oct 19, 2022",0.189
"Oct 19, 2022",0.191
"Oct 19, 2022",0.199
"Oct 19, 2022",0.221
"Oct 19, 2022",0.251
"Oct 19, 2022",0.257
"Oct 20, 2022",0.258
"Oct 20, 2022",0.258
"Oct 20, 2022",0.254
"Oct 20, 2022",0.246
"Oct 20, 2022",0.238
"Oct 20, 2022",0.253
"Oct 20, 2022",0.315
"Oct 20, 2022",0.312
"Oct 21, 2022",0.31
"Oct 21, 2022",0.313
"Oct 21, 2022",0.296
"Oct 21, 2022",0.288
"Oct 21, 2022",0.287
"Oct 21, 2022",0.29
"Oct 21, 2022",0.297
